date,open,high,low,close,volume,interval,vol_zscore,single_candle,multi_candle,candle,CDL_open,CDL_high,CDL_low,CDL_close,CDL_body_size,CDL_shadow_ratio,range_to_body_ratio,type,cdl_emotion,cdl_strength,cdl_implication,cdl_direction,last_close,price_dir,price_chg
2025-06-24 10:10:00+05:30,540.6,541.3,540.45,540.85,31346,5minute,-1.2318146550510995,unknown,unknown,unknown,,,,,,,3.3998640054394187,,,,,,,sideways,
2025-06-24 10:15:00+05:30,540.65,541.25,539.05,540.0,21351,5minute,-1.2494407458279455,unknown,evening_star,evening_star,539.7,540.45,539.15,539.15,0.0010201242696838881,1.3636363636361946,3.384563314410736,bearish,decisive,strong,reversal,down,535.85,down,-0.5
2025-06-24 10:20:00+05:30,539.7,540.45,539.15,539.15,21965,5minute,-1.2038337027486719,unknown,unknown,unknown,,,,,,,2.363593389210936,,,,,,,sideways,
2025-06-24 10:25:00+05:30,539.15,539.9,536.9,538.55,69356,5minute,-0.5870516590345932,unknown,unknown,unknown,,,,,,,4.999916668055343,,,,,,,sideways,
2025-06-24 10:30:00+05:30,538.55,538.55,535.2,535.85,40094,5minute,-0.7882015375985737,bearish_belt_hold,three_black_crows,three_black_crows,538.55,538.55,535.2,535.85,0.005038723523373951,0.2407407407407384,1.2407361454216812,bearish,decisive,strong,continuation,down,535.85,sideways,0.0
2025-06-24 10:35:00+05:30,535.85,539.5,535.85,539.3,50284,5minute,-0.5928343256132297,bullish_belt_hold,unknown,bullish_belt_hold,535.85,539.5,535.85,539.3,0.006397181531614931,0.05797101449276795,1.0579679479190058,bullish,decisive,moderate,reversal,up,539.3,sideways,0.0
2025-06-24 10:40:00+05:30,539.3,539.3,537.4,538.05,24216,5minute,-0.7879218614762725,bearish_belt_hold,unknown,bearish_belt_hold,539.3,539.3,537.4,538.05,0.0023232041631818605,0.5199999999999818,1.5199878400972608,bearish,decisive,moderate,reversal,down,536.0,down,-0.37
2025-06-24 10:45:00+05:30,538.05,538.05,536.75,536.75,15219,5minute,-0.7799575231159724,bearish_belt_hold,unknown,bearish_belt_hold,538.05,538.05,536.75,536.75,0.0024219841639496124,0.0,0.9999923077514787,bearish,decisive,moderate,reversal,down,536.75,sideways,0.0
2025-06-24 10:50:00+05:30,536.75,537.75,536.15,537.3,19919,5minute,-0.6113496315649706,unknown,unknown,unknown,,,,,,,2.909038017490873,,,,,,,sideways,
2025-06-24 10:55:00+05:30,537.3,539.6,537.05,537.85,26101,5minute,-0.6361029936545786,inverted_hammer,unknown,inverted_hammer,537.3,539.6,537.05,537.85,0.001022589941433612,3.6363636363631855,4.636279340375179,bullish,decisive,weak,reversal,up,537.85,sideways,0.0
2025-06-24 11:00:00+05:30,537.85,538.3,537.35,537.35,12576,5minute,-1.0709331371325672,unknown,unknown,unknown,,,,,,,1.8999620007598486,,,,,,,sideways,
2025-06-24 11:05:00+05:30,537.55,537.7,536.65,537.1,25725,5minute,-0.42071417964637636,unknown,unknown,unknown,,,,,,,2.3332814826342245,,,,,,,sideways,
2025-06-24 11:10:00+05:30,537.1,537.55,536.3,536.5,11080,5minute,-1.1316728588046308,unknown,three_black_crows,three_black_crows,537.1,537.55,536.3,536.5,0.0011183597390494366,1.0833333333332544,2.0832986116897265,bearish,decisive,strong,continuation,down,536.0,down,-0.06
2025-06-24 11:15:00+05:30,536.5,536.9,535.7,536.05,15044,5minute,-0.768766600553669,unknown,three_black_crows,three_black_crows,536.5,536.9,535.7,536.05,0.0008394739296708246,1.6666666666662455,2.6666074087238294,bearish,decisive,strong,continuation,down,536.05,sideways,0.0
2025-06-24 11:20:00+05:30,536.3,537.0,536.0,536.3,10697,5minute,-0.9155207042516185,doji,unknown,doji,536.3,537.0,536.0,536.3,0.0,0.0,99999.99999999999,neutral,indecision,,reversal,trend,538.0,up,0.37
2025-06-24 11:25:00+05:30,536.3,536.45,535.55,536.0,11979,5minute,-0.7806378492183679,unknown,unknown,unknown,,,,,,,2.99990000333398,,,,,,,sideways,
2025-06-24 11:30:00+05:30,536.0,536.9,535.45,536.9,14219,5minute,-0.6084249083878677,unknown,unknown,unknown,,,,,,,1.6110932100754085,,,,,,,sideways,
2025-06-24 11:35:00+05:30,536.9,536.9,535.9,536.5,9081,5minute,-0.9421242502436687,bearish_belt_hold,tweezer_top,tweezer_top,536.9,536.9,535.9,536.5,0.0007455731593662204,1.500000000000142,2.499937501562603,bearish,decisive,moderate,reversal,down,536.5,sideways,0.0
2025-06-24 11:40:00+05:30,536.7,538.0,536.6,538.0,7819,5minute,-0.9330997908016532,bullish_belt_hold,unknown,bullish_belt_hold,536.7,538.0,536.6,538.0,0.0024163568773233357,0.0769230769230971,1.076914792963151,bullish,decisive,moderate,reversal,up,539.25,up,0.18
2025-06-24 11:45:00+05:30,538.0,538.55,537.85,538.4,12512,5minute,-0.4787055121430313,unknown,unknown,unknown,,,,,,,1.7499562510936515,,,,,,,sideways,
2025-06-24 11:50:00+05:30,538.45,539.5,538.25,538.3,19340,5minute,0.7439777773800653,shooting_star,unknown,shooting_star,538.45,539.5,538.25,538.3,0.00027865502507912123,7.33333333332828,8.332777814807294,bearish,decisive,moderate,reversal,down,538.3,sideways,0.0
2025-06-24 11:55:00+05:30,538.65,539.15,537.55,539.0,11116,5minute,-0.6347005050568879,hammer,bullish_kicker,bullish_kicker,538.65,539.15,537.55,539.0,0.0006493506493506915,3.5714285714283394,4.571297962915113,bullish,decisive,strong,reversal,up,546.45,up,1.38
2025-06-24 12:00:00+05:30,539.0,539.8,538.75,539.25,10992,5minute,-0.5573923338554382,unknown,unknown,unknown,,,,,,,4.199832006719549,,,,,,,sideways,
2025-06-24 12:05:00+05:30,539.25,539.25,538.5,539.1,5245,5minute,-1.4818552553757682,bearish_belt_hold,unknown,bearish_belt_hold,539.25,539.25,538.5,539.1,0.000278241513633792,4.000000000000758,4.999666688888165,bearish,decisive,moderate,reversal,down,539.1,sideways,0.0
